Original_Index,Split,GroundTruth_CD,Predicted_CD,Error
0,Training,35.65252685546875,11.78800106048584,23.86452579498291
1,Validation,40.229373931884766,14.294014930725098,25.935359001159668
2,Training,32.99070739746094,14.54759407043457,18.443113327026367
3,Training,25.374391555786133,13.746925354003906,11.627466201782227
4,Validation,25.092103958129883,11.330977439880371,13.761126518249512
5,Training,23.383861541748047,11.890023231506348,11.4938383102417
6,Training,20.80248260498047,10.23054313659668,10.571939468383789
7,Training,23.87813377380371,12.198294639587402,11.679839134216309
8,Validation,22.014619827270508,10.959823608398438,11.05479621887207
9,Training,22.995933532714844,13.189169883728027,9.806763648986816
10,Training,23.546279907226562,14.427297592163086,9.118982315063477
11,Training,30.816152572631836,14.3356351852417,16.480517387390137
12,Training,21.249149322509766,11.03170394897461,10.217445373535156
13,Testing,27.247577667236328,10.922459602355957,16.32511806488037
14,Validation,23.845853805541992,11.072234153747559,12.773619651794434
15,Training,25.841272354125977,13.439208984375,12.402063369750977
16,Training,22.156164169311523,10.061488151550293,12.09467601776123
17,Training,21.200984954833984,10.030241966247559,11.170742988586426
18,Training,22.688735961914062,9.45568561553955,13.233050346374512
19,Training,20.70663070678711,10.20114803314209,10.50548267364502
20,Testing,21.473012924194336,8.600704193115234,12.872308731079102
21,Testing,22.937414169311523,11.022253036499023,11.9151611328125
22,Training,21.567136764526367,10.486071586608887,11.08106517791748
23,Training,18.90829849243164,10.331756591796875,8.576541900634766
24,Training,20.924226760864258,11.164274215698242,9.759952545166016
25,Training,23.085407257080078,11.344376564025879,11.7410306930542
26,Training,25.32406997680664,11.175896644592285,14.148173332214355
27,Validation,27.485937118530273,13.304327964782715,14.181609153747559
28,Training,23.24629020690918,10.563345909118652,12.682944297790527
29,Training,19.928726196289062,10.113247871398926,9.815478324890137
30,Training,21.8352108001709,9.834784507751465,12.000426292419434
31,Training,20.510786056518555,9.478236198425293,11.032549858093262
32,Validation,21.04195785522461,8.421305656433105,12.620652198791504
33,Training,23.508317947387695,10.71077823638916,12.797539710998535
34,Testing,22.326000213623047,10.081888198852539,12.244112014770508
35,Training,21.746835708618164,10.054549217224121,11.692286491394043
36,Training,22.82887840270996,10.96517276763916,11.8637056350708
37,Training,22.982250213623047,11.265427589416504,11.716822624206543
38,Training,28.01605987548828,12.248554229736328,15.767505645751953
39,Training,28.97651481628418,12.789626121520996,16.186888694763184
40,Validation,22.84337043762207,9.712860107421875,13.130510330200195
41,Training,21.768728256225586,10.355814933776855,11.41291332244873
42,Training,23.426584243774414,9.727734565734863,13.69884967803955
43,Validation,20.615543365478516,8.764098167419434,11.851445198059082
44,Training,19.967588424682617,9.458020210266113,10.509568214416504
45,Training,25.094844818115234,10.74748706817627,14.347357749938965
46,Training,24.06944465637207,9.921183586120605,14.148261070251465
47,Validation,20.631511688232422,10.205658912658691,10.42585277557373
48,Testing,23.68577003479004,11.559575080871582,12.126194953918457
49,Testing,23.167959213256836,12.721549987792969,10.446409225463867
50,Testing,27.745473861694336,11.436371803283691,16.309102058410645
51,Training,28.323244094848633,13.103989601135254,15.219254493713379
52,Testing,22.15581703186035,9.96338939666748,12.192427635192871
53,Validation,22.026391983032227,9.770041465759277,12.25635051727295
54,Testing,21.747594833374023,10.066829681396484,11.680765151977539
55,Training,20.707042694091797,9.372309684753418,11.334733009338379
56,Training,20.182037353515625,9.40986156463623,10.772175788879395
57,Training,24.863784790039062,10.637866973876953,14.22591781616211
58,Testing,20.553659439086914,10.347397804260254,10.20626163482666
59,Training,21.260356903076172,9.920831680297852,11.33952522277832
60,Training,23.67995262145996,11.651265144348145,12.028687477111816
61,Validation,24.27726936340332,12.138712882995605,12.138556480407715
62,Validation,24.92413902282715,11.832858085632324,13.091280937194824
63,Training,28.379396438598633,13.11137580871582,15.268020629882812
64,Validation,22.61332130432129,9.822892189025879,12.79042911529541
65,Training,21.132219314575195,10.185364723205566,10.946854591369629
66,Training,21.634069442749023,10.019486427307129,11.614583015441895
67,Training,20.91932487487793,9.305006980895996,11.614317893981934
68,Training,20.50136375427246,8.976887702941895,11.524476051330566
69,Training,24.953105926513672,11.018692970275879,13.934412956237793
70,Training,20.288116455078125,10.1737642288208,10.114352226257324
71,Testing,21.110870361328125,10.33703327178955,10.773837089538574
72,Training,27.614612579345703,11.452733993530273,16.16187858581543
73,Training,37.85203170776367,14.327998161315918,23.524033546447754
74,Training,31.51163101196289,15.140204429626465,16.371426582336426
75,Training,26.978565216064453,13.853315353393555,13.125249862670898
76,Training,24.019277572631836,11.63342571258545,12.385851860046387
77,Training,23.987546920776367,12.13520336151123,11.852343559265137
78,Training,21.338960647583008,9.831665992736816,11.507294654846191
79,Training,22.472965240478516,12.307905197143555,10.165060043334961
80,Testing,20.888145446777344,11.054388999938965,9.833756446838379
81,Training,23.485885620117188,12.7733736038208,10.712512016296387
82,Training,23.11035919189453,14.375109672546387,8.735249519348145
83,Training,24.2687931060791,13.924101829528809,10.344691276550293
84,Training,17.592443466186523,10.314562797546387,7.277880668640137
85,Training,21.460277557373047,11.139518737792969,10.320758819580078
