Original_Index,Split,GroundTruth_CD,Predicted_CD,Error
0,Training,24.42024040222168,17.892805099487305,6.527435302734375
1,Validation,18.962308883666992,15.607269287109375,3.355039596557617
2,Training,17.500478744506836,14.554596900939941,2.9458818435668945
3,Training,21.493955612182617,17.147079467773438,4.34687614440918
4,Validation,10.858139038085938,11.671274185180664,0.8131351470947266
5,Training,8.57490348815918,9.975724220275879,1.4008207321166992
6,Training,7.556760787963867,9.384992599487305,1.8282318115234375
7,Training,7.1704912185668945,9.183821678161621,2.0133304595947266
8,Validation,8.064584732055664,12.162347793579102,4.0977630615234375
9,Training,9.183876037597656,12.589512825012207,3.405636787414551
10,Training,14.329355239868164,13.969321250915527,0.3600339889526367
11,Training,17.95427131652832,15.568702697753906,2.385568618774414
12,Training,7.326545715332031,7.510379314422607,0.18383359909057617
13,Testing,10.307284355163574,8.21450138092041,2.092782974243164
14,Validation,8.632012367248535,11.424418449401855,2.7924060821533203
15,Training,12.56340503692627,11.632472038269043,0.9309329986572266
16,Training,7.746511459350586,8.874289512634277,1.1277780532836914
17,Training,8.269664764404297,10.477865219116211,2.208200454711914
18,Training,8.546061515808105,9.439355850219727,0.8932943344116211
19,Training,6.559037685394287,8.925869941711426,2.3668322563171387
20,Testing,6.376768589019775,6.212133407592773,0.16463518142700195
21,Testing,8.569812774658203,11.138345718383789,2.568532943725586
22,Training,8.45748233795166,12.42481803894043,3.9673357009887695
23,Training,9.61224365234375,6.771985054016113,2.8402585983276367
24,Training,8.036870956420898,5.705214500427246,2.3316564559936523
25,Training,8.201704025268555,7.568233489990234,0.6334705352783203
26,Training,8.451441764831543,8.315771102905273,0.13567066192626953
27,Validation,9.86846923828125,10.626119613647461,0.7576503753662109
28,Training,9.2636079788208,8.854005813598633,0.40960216522216797
29,Training,8.604138374328613,9.43875789642334,0.8346195220947266
30,Training,9.05038070678711,9.533157348632812,0.4827766418457031
31,Training,6.122797012329102,6.481566429138184,0.35876941680908203
32,Validation,6.36552095413208,7.324392795562744,0.9588718414306641
33,Training,9.495261192321777,11.877983093261719,2.3827219009399414
34,Testing,7.419827938079834,7.324845314025879,0.09498262405395508
35,Training,5.505767822265625,7.034122467041016,1.5283546447753906
36,Training,6.524848937988281,5.298643112182617,1.226205825805664
37,Training,7.504167556762695,7.1082763671875,0.3958911895751953
38,Training,11.9380464553833,7.77699089050293,4.161055564880371
39,Training,9.574124336242676,10.543103218078613,0.9689788818359375
40,Validation,9.630049705505371,9.173202514648438,0.4568471908569336
41,Training,11.613269805908203,9.521101951599121,2.092167854309082
42,Training,9.77143383026123,10.464371681213379,0.6929378509521484
43,Validation,7.672239780426025,6.670802116394043,1.0014376640319824
44,Training,7.363236904144287,8.464027404785156,1.1007905006408691
45,Training,12.3291597366333,11.26276969909668,1.066390037536621
46,Training,8.423575401306152,7.427333354949951,0.9962420463562012
47,Validation,6.296322345733643,6.753340244293213,0.4570178985595703
48,Testing,8.102347373962402,8.322826385498047,0.22047901153564453
49,Validation,8.133480072021484,8.112589836120605,0.020890235900878906
50,Testing,9.28451156616211,9.632622718811035,0.3481111526489258
51,Training,9.367607116699219,11.808815002441406,2.4412078857421875
52,Testing,12.921581268310547,10.090484619140625,2.831096649169922
53,Validation,10.412504196166992,10.324676513671875,0.08782768249511719
54,Testing,11.912994384765625,11.167263984680176,0.7457304000854492
55,Training,9.315424919128418,7.605074882507324,1.7103500366210938
56,Training,7.63032865524292,7.629518508911133,0.0008101463317871094
57,Training,9.038003921508789,11.468274116516113,2.430270195007324
58,Testing,6.077258110046387,7.240755558013916,1.1634974479675293
59,Training,6.312762260437012,6.903467178344727,0.5907049179077148
60,Training,7.423982620239258,7.986543655395508,0.56256103515625
61,Validation,10.432616233825684,8.612709045410156,1.8199071884155273
62,Validation,10.692829132080078,10.530756950378418,0.16207218170166016
63,Training,10.8462553024292,12.006921768188477,1.1606664657592773
64,Validation,10.721802711486816,11.430567741394043,0.7087650299072266
65,Training,11.086377143859863,10.687925338745117,0.3984518051147461
66,Training,11.386422157287598,11.873074531555176,0.4866523742675781
67,Training,8.159845352172852,7.609127044677734,0.5507183074951172
68,Training,7.36000919342041,8.405792236328125,1.0457830429077148
69,Training,10.045384407043457,11.570465087890625,1.525080680847168
70,Training,5.451817512512207,7.307237148284912,1.855419635772705
71,Testing,7.947618007659912,6.508815288543701,1.438802719116211
72,Training,7.823915958404541,7.273654460906982,0.5502614974975586
73,Training,10.921783447265625,8.812040328979492,2.109743118286133
74,Training,10.307722091674805,11.629905700683594,1.322183609008789
75,Training,17.79749298095703,12.68729019165039,5.110202789306641
76,Training,15.246384620666504,11.885950088500977,3.3604345321655273
77,Training,11.729327201843262,10.526307106018066,1.2030200958251953
78,Training,15.560379981994629,14.141732215881348,1.4186477661132812
79,Training,10.5089693069458,7.7813520431518555,2.7276172637939453
80,Testing,7.251204013824463,8.21115779876709,0.959953784942627
81,Training,9.424341201782227,12.03851318359375,2.6141719818115234
82,Training,6.155591011047363,6.8426103591918945,0.6870193481445312
83,Training,6.832981586456299,6.723536491394043,0.10944509506225586
84,Training,19.3893985748291,17.871950149536133,1.5174484252929688
85,Training,19.55219268798828,15.914371490478516,3.6378211975097656
86,Training,17.20098114013672,14.58692741394043,2.614053726196289
87,Testing,16.73713493347168,16.5351505279541,0.20198440551757812
88,Testing,11.906645774841309,11.900028228759766,0.006617546081542969
89,Training,8.988336563110352,9.961772918701172,0.9734363555908203
90,Training,8.208658218383789,9.192627906799316,0.9839696884155273
91,Testing,8.116225242614746,9.099641799926758,0.9834165573120117
92,Training,9.779221534729004,11.653121948242188,1.8739004135131836
93,Training,10.247246742248535,12.068204879760742,1.820958137512207
94,Training,15.641061782836914,14.23337173461914,1.4076900482177734
95,Training,20.055908203125,16.44114875793457,3.6147594451904297
96,Training,9.155608177185059,7.49564790725708,1.6599602699279785
97,Training,10.334460258483887,7.530003547668457,2.8044567108154297
98,Validation,8.455208778381348,11.421971321105957,2.9667625427246094
99,Testing,11.936881065368652,11.577375411987305,0.35950565338134766
100,Validation,8.476642608642578,8.955090522766113,0.47844791412353516
101,Training,8.39517593383789,9.733339309692383,1.3381633758544922
102,Testing,8.226999282836914,9.195917129516602,0.9689178466796875
103,Training,6.940667629241943,6.2107391357421875,0.7299284934997559
104,Training,7.757053852081299,6.76352596282959,0.993527889251709
105,Validation,9.83877944946289,11.184281349182129,1.3455018997192383
106,Testing,9.0517578125,11.842761993408203,2.791004180908203
107,Training,7.1885271072387695,6.841070175170898,0.3474569320678711
108,Training,7.185281276702881,5.701183319091797,1.484097957611084
109,Training,6.850890636444092,7.473319053649902,0.6224284172058105
110,Training,8.015320777893066,8.2133207321167,0.1979999542236328
111,Training,10.945876121520996,10.578133583068848,0.36774253845214844
112,Training,9.871542930603027,8.844335556030273,1.027207374572754
113,Training,8.367311477661133,9.453866004943848,1.0865545272827148
114,Training,8.803680419921875,9.820075988769531,1.0163955688476562
115,Training,8.33377456665039,6.501065731048584,1.8327088356018066
116,Training,6.8467559814453125,7.473356246948242,0.6266002655029297
117,Training,9.364792823791504,11.873800277709961,2.509007453918457
118,Training,7.752960205078125,7.517560005187988,0.23540019989013672
119,Training,6.118143558502197,6.894687175750732,0.7765436172485352
120,Training,7.169712543487549,5.518096923828125,1.6516156196594238
121,Testing,7.898182392120361,7.082067489624023,0.8161149024963379
122,Training,8.355972290039062,7.751330852508545,0.6046414375305176
123,Training,10.162837982177734,10.450915336608887,0.28807735443115234
124,Training,8.947005271911621,9.172867774963379,0.2258625030517578
125,Training,9.223949432373047,9.500396728515625,0.2764472961425781
126,Training,10.746784210205078,10.339517593383789,0.40726661682128906
127,Training,7.500708103179932,6.706434726715088,0.7942733764648438
128,Validation,8.579416275024414,7.872657775878906,0.7067584991455078
129,Training,10.773552894592285,11.242227554321289,0.4686746597290039
130,Testing,7.903653144836426,7.459085464477539,0.4445676803588867
131,Training,5.81217098236084,6.712926864624023,0.9007558822631836
132,Training,8.197061538696289,8.38381576538086,0.1867542266845703
133,Training,9.324233055114746,7.702421188354492,1.621811866760254
134,Testing,8.827432632446289,9.712759971618652,0.8853273391723633
135,Validation,10.391190528869629,11.83927059173584,1.448080062866211
136,Training,11.883988380432129,10.069311141967773,1.8146772384643555
137,Training,9.376625061035156,10.328211784362793,0.9515867233276367
138,Validation,12.486138343811035,11.174463272094727,1.3116750717163086
139,Training,8.15472412109375,7.600222587585449,0.5545015335083008
140,Training,6.870428085327148,7.624463081359863,0.7540349960327148
141,Training,11.485750198364258,11.567350387573242,0.08160018920898438
142,Training,6.514511585235596,7.236476421356201,0.7219648361206055
143,Training,6.179464340209961,6.628134727478027,0.4486703872680664
144,Training,9.938213348388672,8.359968185424805,1.5782451629638672
145,Training,8.198405265808105,8.562538146972656,0.3641328811645508
146,Training,10.408890724182129,10.569994926452637,0.1611042022705078
147,Training,10.204577445983887,12.03171157836914,1.827134132385254
148,Training,11.139498710632324,11.477071762084961,0.3375730514526367
149,Testing,11.315530776977539,10.686851501464844,0.6286792755126953
150,Training,11.993669509887695,11.975165367126465,0.01850414276123047
151,Testing,10.09332275390625,7.654882431030273,2.4384403228759766
152,Training,6.840192794799805,8.412059783935547,1.5718669891357422
153,Training,12.66221809387207,11.662670135498047,0.9995479583740234
154,Training,6.064757823944092,7.046648025512695,0.9818902015686035
155,Training,6.719573020935059,6.503835201263428,0.21573781967163086
156,Validation,9.908745765686035,7.660280227661133,2.2484655380249023
157,Training,8.843001365661621,8.51766586303711,0.3253355026245117
158,Training,15.637311935424805,11.649435043334961,3.9878768920898438
159,Training,10.998623847961426,12.703847885131836,1.7052240371704102
160,Testing,15.060036659240723,11.878362655639648,3.181674003601074
161,Validation,11.809417724609375,10.528687477111816,1.2807302474975586
162,Validation,11.83778190612793,14.13614273071289,2.298360824584961
163,Training,8.113248825073242,7.794824600219727,0.3184242248535156
164,Training,7.955745220184326,8.420475006103516,0.46472978591918945
165,Training,14.8132905960083,12.150636672973633,2.662653923034668
166,Testing,5.9159064292907715,6.786176681518555,0.8702702522277832
167,Training,7.943696022033691,6.724392890930176,1.2193031311035156
168,Training,47.157257080078125,37.43640899658203,9.720848083496094
169,Testing,19.518686294555664,16.09762954711914,3.4210567474365234
170,Training,14.715073585510254,14.602662086486816,0.1124114990234375
171,Validation,13.531320571899414,14.040403366088867,0.5090827941894531
172,Training,13.239168167114258,12.125213623046875,1.1139545440673828
173,Training,10.218897819519043,9.945487976074219,0.2734098434448242
174,Testing,7.392509460449219,9.22696590423584,1.834456443786621
175,Training,7.807693958282471,9.159714698791504,1.3520207405090332
176,Training,9.717065811157227,11.463720321655273,1.7466545104980469
177,Training,10.167379379272461,11.259662628173828,1.0922832489013672
178,Training,19.03929901123047,15.741973876953125,3.2973251342773438
179,Training,17.944929122924805,14.348028182983398,3.5969009399414062
180,Training,7.0741119384765625,7.539304733276367,0.4651927947998047
181,Training,10.136906623840332,7.5333051681518555,2.6036014556884766
182,Training,11.624568939208984,11.413566589355469,0.21100234985351562
183,Training,11.14625072479248,11.504291534423828,0.35804080963134766
184,Training,8.137701034545898,9.366536140441895,1.228835105895996
185,Training,8.208282470703125,9.73775577545166,1.5294733047485352
186,Training,8.04476547241211,9.149049758911133,1.1042842864990234
187,Testing,7.277148723602295,6.212596416473389,1.0645523071289062
188,Testing,7.538575649261475,6.760653972625732,0.7779216766357422
189,Testing,9.780967712402344,10.972894668579102,1.1919269561767578
190,Validation,10.282719612121582,11.843130111694336,1.560410499572754
191,Testing,7.983425617218018,6.95682430267334,1.0266013145446777
192,Training,7.807516098022461,5.718120098114014,2.0893959999084473
193,Training,6.954890251159668,7.350199222564697,0.3953089714050293
194,Training,8.212898254394531,8.154200553894043,0.05869770050048828
195,Training,9.375564575195312,10.350748062133789,0.9751834869384766
196,Training,7.728872776031494,8.834978103637695,1.1061053276062012
197,Training,8.452411651611328,9.385923385620117,0.9335117340087891
198,Training,7.802009105682373,9.771352767944336,1.969343662261963
199,Training,7.218836784362793,6.495847702026367,0.7229890823364258
200,Validation,8.681107521057129,7.522954940795898,1.1581525802612305
201,Validation,8.805811882019043,11.487651824951172,2.681839942932129
202,Training,7.448800086975098,7.244778633117676,0.20402145385742188
203,Training,6.100338935852051,6.856562614440918,0.7562236785888672
204,Training,7.373027324676514,5.508763313293457,1.8642640113830566
205,Testing,7.359692096710205,7.0767412185668945,0.28295087814331055
206,Training,7.847120761871338,7.69001579284668,0.1571049690246582
207,Validation,10.79247760772705,10.406780242919922,0.3856973648071289
208,Training,9.339543342590332,9.11446762084961,0.22507572174072266
209,Training,8.835164070129395,9.500962257385254,0.6657981872558594
210,Training,9.061162948608398,10.353885650634766,1.2927227020263672
211,Training,8.787117004394531,6.6990814208984375,2.0880355834960938
212,Validation,7.540384292602539,7.923532485961914,0.383148193359375
213,Validation,12.148457527160645,11.234187126159668,0.9142704010009766
214,Testing,8.505945205688477,7.450479984283447,1.0554652214050293
215,Validation,6.99354887008667,6.679757118225098,0.31379175186157227
