Split,GroundTruth_CD,Predicted_CD,Error
Training,46.874122619628906,31.883390426635742,14.990732192993164
Training,33.053585052490234,10.9655179977417,22.088067054748535
Training,24.449792861938477,12.511534690856934,11.938258171081543
Validation,24.00110626220703,7.0753374099731445,16.925768852233887
Training,22.29913330078125,11.399381637573242,10.899751663208008
Training,22.277299880981445,12.14907169342041,10.128228187561035
Validation,21.91217803955078,34.4628791809082,12.550701141357422
Training,21.595924377441406,11.948101043701172,9.647823333740234
Training,21.493480682373047,10.22374439239502,11.269736289978027
Validation,20.729373931884766,7.658881187438965,13.0704927444458
Training,19.958314895629883,12.203906059265137,7.754408836364746
Training,19.25385856628418,7.696136951446533,11.557721614837646
Training,18.80984115600586,7.98163366317749,10.82820749282837
Training,18.5452823638916,6.853187561035156,11.692094802856445
Validation,17.72575569152832,5.035604000091553,12.690151691436768
Training,17.433082580566406,12.967074394226074,4.466008186340332
Training,17.23079490661621,8.122406005859375,9.108388900756836
Training,17.052717208862305,9.083235740661621,7.969481468200684
Training,16.923736572265625,11.398701667785645,5.5250349044799805
Validation,16.85358238220215,7.402767658233643,9.450814723968506
Training,16.809232711791992,10.854849815368652,5.95438289642334
Training,16.68870735168457,10.861923217773438,5.826784133911133
Training,16.18277359008789,11.952727317810059,4.230046272277832
Training,16.154184341430664,8.0367431640625,8.117441177368164
Training,16.063337326049805,9.098402976989746,6.964934349060059
Training,16.020559310913086,11.477609634399414,4.542949676513672
Training,15.478211402893066,7.532825946807861,7.945385456085205
Training,15.474801063537598,8.751818656921387,6.722982406616211
Training,15.450311660766602,8.531844139099121,6.9184675216674805
Training,15.224706649780273,8.84164047241211,6.383066177368164
Training,15.065664291381836,8.124451637268066,6.9412126541137695
Validation,15.025935173034668,4.655196666717529,10.370738506317139
Validation,14.747187614440918,6.153655529022217,8.593532085418701
Training,14.6967191696167,10.138496398925781,4.558222770690918
Training,14.590203285217285,7.29114294052124,7.299060344696045
Validation,14.556405067443848,5.4722723960876465,9.084132671356201
Validation,14.202980041503906,7.758480548858643,6.444499492645264
Training,14.146114349365234,11.875840187072754,2.2702741622924805
Training,14.004072189331055,9.454717636108398,4.549354553222656
Training,13.980446815490723,10.601038932800293,3.3794078826904297
Training,13.82868480682373,8.44612979888916,5.38255500793457
Training,13.768930435180664,7.702985763549805,6.065944671630859
Training,13.757364273071289,7.8764567375183105,5.8809075355529785
Training,13.680211067199707,7.537802219390869,6.142408847808838
Validation,13.661054611206055,6.3792033195495605,7.281851291656494
Training,13.564382553100586,10.551104545593262,3.013278007507324
Training,13.436798095703125,7.366759777069092,6.070038318634033
Validation,13.003820419311523,7.290432453155518,5.713387966156006
Training,12.946162223815918,8.887694358825684,4.058467864990234
Training,12.919568061828613,8.934011459350586,3.9855566024780273
Training,12.866323471069336,10.914129257202148,1.9521942138671875
Training,12.757333755493164,8.66089153289795,4.096442222595215
Validation,12.754344940185547,6.948458671569824,5.805886268615723
Validation,12.663278579711914,8.650006294250488,4.013272285461426
Training,12.648711204528809,8.482073783874512,4.166637420654297
Training,12.533997535705566,6.770953178405762,5.763044357299805
Training,12.461738586425781,7.607003688812256,4.854734897613525
Training,12.33977222442627,6.757882595062256,5.581889629364014
Training,12.320819854736328,7.194623947143555,5.126195907592773
Training,12.239517211914062,8.229493141174316,4.010024070739746
Training,12.163681030273438,10.141186714172363,2.022494316101074
Training,12.152899742126465,6.396996974945068,5.7559027671813965
Validation,12.064990043640137,7.491064548492432,4.573925495147705
Validation,12.037253379821777,8.004130363464355,4.033123016357422
Validation,11.903023719787598,5.376415729522705,6.526607990264893
Training,11.875149726867676,8.816311836242676,3.058837890625
Training,11.863714218139648,6.259615421295166,5.604098796844482
Training,11.83387279510498,9.342700004577637,2.4911727905273438
Validation,11.819280624389648,7.236404895782471,4.582875728607178
Training,11.762615203857422,6.02407693862915,5.7385382652282715
Training,11.724410057067871,10.220837593078613,1.5035724639892578
Validation,11.702475547790527,9.322174072265625,2.3803014755249023
Training,11.699825286865234,7.51263427734375,4.187191009521484
Training,11.69912338256836,11.92593765258789,0.22681427001953125
Training,11.609212875366211,5.903047561645508,5.706165313720703
Training,11.606931686401367,7.5344672203063965,4.072464466094971
Training,11.602397918701172,5.888797283172607,5.7136006355285645
Training,11.585187911987305,6.648892879486084,4.936295032501221
Training,11.577766418457031,7.075881481170654,4.501884937286377
Training,11.566389083862305,8.416516304016113,3.1498727798461914
Training,11.565540313720703,8.105188369750977,3.4603519439697266
Validation,11.562335014343262,7.572626113891602,3.98970890045166
Validation,11.539602279663086,6.307438850402832,5.232163429260254
Training,11.50035285949707,7.409560203552246,4.090792655944824
Training,11.498472213745117,5.973501682281494,5.524970531463623
Validation,11.471026420593262,6.157063007354736,5.313963413238525
Training,11.458914756774902,8.171822547912598,3.2870922088623047
Training,11.453782081604004,9.404109001159668,2.049673080444336
Training,11.416862487792969,7.87619161605835,3.540670871734619
Training,11.409899711608887,8.405823707580566,3.0040760040283203
Training,11.400789260864258,6.913993835449219,4.486795425415039
Training,11.37994384765625,8.235495567321777,3.1444482803344727
Training,11.374794960021973,7.329336166381836,4.045458793640137
Validation,11.355891227722168,9.178634643554688,2.1772565841674805
Training,11.321451187133789,8.34255599975586,2.9788951873779297
