Project Root: c:\Users\Alvan\Documents\Alvan\Data\Code\Python\Main\pointnet_pytorch_reflective
Using Device: cuda
Target Mean: 10.2212 | Target Std: 3.7354
Training on: 393 | Validation: 99
Epoch 74/1000 | Train Loss (MSE): 487.55 | Val Loss (MSE): 142.53
Epoch 75/1000 | Train Loss (MSE): 544.91 | Val Loss (MSE): 164.91
Epoch 76/1000 | Train Loss (MSE): 467.40 | Val Loss (MSE): 144.68
Epoch 77/1000 | Train Loss (MSE): 540.00 | Val Loss (MSE): 146.67
Epoch 78/1000 | Train Loss (MSE): 518.78 | Val Loss (MSE): 155.32
Epoch 79/1000 | Train Loss (MSE): 423.85 | Val Loss (MSE): 144.27
Epoch 80/1000 | Train Loss (MSE): 483.60 | Val Loss (MSE): 146.01
Epoch 81/1000 | Train Loss (MSE): 504.77 | Val Loss (MSE): 156.01
Epoch 82/1000 | Train Loss (MSE): 478.76 | Val Loss (MSE): 146.84
Epoch 83/1000 | Train Loss (MSE): 530.23 | Val Loss (MSE): 154.32
Epoch 84/1000 | Train Loss (MSE): 388.77 | Val Loss (MSE): 142.14
Epoch 85/1000 | Train Loss (MSE): 497.16 | Val Loss (MSE): 145.63
Epoch 86/1000 | Train Loss (MSE): 465.95 | Val Loss (MSE): 139.91
Epoch 87/1000 | Train Loss (MSE): 481.89 | Val Loss (MSE): 145.16
Epoch 88/1000 | Train Loss (MSE): 443.15 | Val Loss (MSE): 150.31
Epoch 89/1000 | Train Loss (MSE): 493.00 | Val Loss (MSE): 152.75
Epoch 90/1000 | Train Loss (MSE): 452.72 | Val Loss (MSE): 136.58
Epoch 91/1000 | Train Loss (MSE): 498.08 | Val Loss (MSE): 139.38
Epoch 92/1000 | Train Loss (MSE): 412.12 | Val Loss (MSE): 135.59
Epoch 93/1000 | Train Loss (MSE): 521.97 | Val Loss (MSE): 158.62
Epoch 94/1000 | Train Loss (MSE): 448.09 | Val Loss (MSE): 140.13
Epoch 95/1000 | Train Loss (MSE): 455.74 | Val Loss (MSE): 146.43
Epoch 96/1000 | Train Loss (MSE): 467.93 | Val Loss (MSE): 175.85
Epoch 97/1000 | Train Loss (MSE): 435.71 | Val Loss (MSE): 136.61
Epoch 98/1000 | Train Loss (MSE): 486.26 | Val Loss (MSE): 146.63
Epoch 99/1000 | Train Loss (MSE): 495.46 | Val Loss (MSE): 145.37
Epoch 100/1000 | Train Loss (MSE): 486.08 | Val Loss (MSE): 150.68
Epoch 101/1000 | Train Loss (MSE): 430.97 | Val Loss (MSE): 143.17
Early stopping triggered! No improvement for 100 epochs.
