Split,GroundTruth_CD,Predicted_CD,Error
Training,23.973108291625977,12.439465522766113,11.533642768859863
Validation,21.310657501220703,10.967982292175293,10.34267520904541
Training,21.156164169311523,10.04447078704834,11.111693382263184
Validation,21.089384078979492,10.498162269592285,10.591221809387207
Training,20.812105178833008,12.215869903564453,8.596235275268555
Training,20.55266571044922,10.604222297668457,9.948443412780762
Training,20.514192581176758,12.155718803405762,8.358473777770996
Validation,20.46432876586914,10.514673233032227,9.949655532836914
Validation,20.22803497314453,11.1716890335083,9.05634593963623
Training,20.224773406982422,10.735111236572266,9.489662170410156
Training,19.92948341369629,11.934686660766602,7.9947967529296875
Training,19.88433837890625,11.252863883972168,8.631474494934082
Training,19.84674072265625,11.22873306274414,8.61800765991211
Training,19.816024780273438,11.24776840209961,8.568256378173828
Validation,19.805356979370117,11.401412010192871,8.403944969177246
Training,19.762449264526367,12.010519981384277,7.75192928314209
Training,19.595703125,10.466179847717285,9.129523277282715
Training,19.525854110717773,12.21384334564209,7.312010765075684
Training,19.50672721862793,11.629611015319824,7.8771162033081055
Training,19.504833221435547,10.696465492248535,8.808367729187012
Training,19.460018157958984,10.645295143127441,8.814723014831543
Training,19.44529151916504,11.586398124694824,7.858893394470215
Training,19.39533042907715,12.510050773620605,6.885279655456543
Validation,19.384815216064453,11.985411643981934,7.3994035720825195
Training,19.378219604492188,10.462821006774902,8.915398597717285
Training,19.353906631469727,11.362456321716309,7.991450309753418
Training,19.279361724853516,12.228065490722656,7.051296234130859
Training,19.238813400268555,10.802876472473145,8.43593692779541
Training,19.231555938720703,12.054376602172852,7.177179336547852
Validation,19.22227668762207,11.94832706451416,7.27394962310791
Training,19.21575927734375,10.278443336486816,8.937315940856934
Training,19.126556396484375,12.941546440124512,6.185009956359863
Validation,19.057344436645508,11.050268173217773,8.007076263427734
Validation,19.040019989013672,11.720026969909668,7.319993019104004
Training,19.011619567871094,9.319099426269531,9.692520141601562
Training,18.965608596801758,9.442242622375488,9.52336597442627
Training,18.880529403686523,10.036860466003418,8.843668937683105
Training,18.835735321044922,11.284331321716309,7.551403999328613
Training,18.756694793701172,9.883397102355957,8.873297691345215
Training,18.740440368652344,9.114282608032227,9.626157760620117
Training,18.666040420532227,9.58767032623291,9.078370094299316
Training,18.632854461669922,10.137408256530762,8.49544620513916
Training,18.50713539123535,10.376002311706543,8.131133079528809
Validation,18.50168228149414,12.209040641784668,6.292641639709473
Training,18.484766006469727,10.517520904541016,7.967245101928711
Training,18.478050231933594,9.054262161254883,9.423788070678711
Training,18.457767486572266,10.530871391296387,7.926896095275879
Validation,18.406164169311523,12.561863899230957,5.844300270080566
Training,18.354400634765625,9.94477653503418,8.409624099731445
Training,18.34918785095215,9.761969566345215,8.587218284606934
Training,18.332006454467773,10.669547080993652,7.662459373474121
Training,18.32720375061035,10.7446928024292,7.582510948181152
Training,18.256790161132812,11.383450508117676,6.873339653015137
Validation,18.233505249023438,13.100895881652832,5.1326093673706055
Training,18.222518920898438,12.45422649383545,5.768292427062988
Validation,18.216564178466797,11.36988353729248,6.846680641174316
Training,18.198402404785156,11.184788703918457,7.013613700866699
Training,18.196563720703125,11.660143852233887,6.536419868469238
Validation,18.195512771606445,11.678833961486816,6.516678810119629
Training,18.186235427856445,9.726394653320312,8.459840774536133
Training,18.162466049194336,11.232901573181152,6.929564476013184
