Split,GroundTruth_CD,Predicted_CD,Error
Training,47.157257080078125,21.912452697753906,25.24480438232422
Training,34.19173812866211,22.350723266601562,11.841014862060547
Training,24.42024040222168,15.136656761169434,9.283583641052246
Training,23.459400177001953,14.776283264160156,8.683116912841797
Training,21.493955612182617,14.99056625366211,6.503389358520508
Validation,21.14520835876465,11.781636238098145,9.363572120666504
Training,20.54848861694336,16.42588233947754,4.12260627746582
Training,20.055908203125,12.26809310913086,7.787815093994141
Training,19.80988311767578,19.8133487701416,0.0034656524658203125
Training,19.55219268798828,17.575786590576172,1.9764060974121094
Validation,19.518686294555664,19.308513641357422,0.2101726531982422
Training,19.3893985748291,19.019973754882812,0.36942481994628906
Training,19.303953170776367,22.134506225585938,2.8305530548095703
Training,19.03929901123047,13.332304000854492,5.706995010375977
Validation,18.962308883666992,19.773021697998047,0.8107128143310547
Training,17.95427131652832,17.81067657470703,0.14359474182128906
Training,17.944929122924805,10.910989761352539,7.033939361572266
Training,17.891569137573242,12.201376914978027,5.690192222595215
Training,17.79749298095703,12.65809154510498,5.139401435852051
Training,17.779695510864258,16.019729614257812,1.7599658966064453
Training,17.500478744506836,14.75573444366455,2.744744300842285
Training,17.3050479888916,11.507246971130371,5.7978010177612305
Training,17.280963897705078,14.881911277770996,2.399052619934082
Training,17.20098114013672,16.403457641601562,0.7975234985351562
Training,17.192901611328125,23.16452980041504,5.971628189086914
Validation,16.73713493347168,14.81735897064209,1.9197759628295898
Training,16.644922256469727,14.023782730102539,2.6211395263671875
Training,16.60793113708496,16.727270126342773,0.1193389892578125
Validation,16.35027503967285,24.69532585144043,8.345050811767578
Validation,15.689019203186035,16.372135162353516,0.6831159591674805
Training,15.641061782836914,14.846492767333984,0.7945690155029297
Training,15.637311935424805,10.10965633392334,5.527655601501465
Training,15.560379981994629,11.01131534576416,4.549064636230469
Training,15.246384620666504,11.225691795349121,4.020692825317383
Training,15.22489070892334,13.660096168518066,1.5647945404052734
Validation,15.060036659240723,10.454428672790527,4.605607986450195
Training,14.95606803894043,13.448664665222168,1.5074033737182617
Training,14.938934326171875,13.49747085571289,1.4414634704589844
Training,14.907195091247559,14.017504692077637,0.8896903991699219
Training,14.846532821655273,10.766447067260742,4.080085754394531
Training,14.8132905960083,11.410160064697266,3.403130531311035
Training,14.715073585510254,15.633413314819336,0.918339729309082
Training,14.680356979370117,12.235678672790527,2.44467830657959
Training,14.4595308303833,12.07783317565918,2.381697654724121
Training,14.418741226196289,12.39121150970459,2.027529716491699
Training,14.39996337890625,10.880478858947754,3.519484519958496
Training,14.329355239868164,15.192283630371094,0.8629283905029297
Training,14.209758758544922,9.790848731994629,4.418910026550293
Training,14.008475303649902,13.200407981872559,0.8080673217773438
Validation,13.629693031311035,13.021834373474121,0.6078586578369141
Training,13.531320571899414,16.172237396240234,2.6409168243408203
Validation,13.40128231048584,11.050210952758789,2.351071357727051
Training,13.376551628112793,11.857497215270996,1.5190544128417969
Training,13.247658729553223,11.147093772888184,2.100564956665039
Training,13.239168167114258,11.653843879699707,1.5853242874145508
Training,13.178948402404785,9.334017753601074,3.844930648803711
Validation,13.15001392364502,9.789481163024902,3.360532760620117
Validation,13.091994285583496,8.97868824005127,4.113306045532227
Training,13.023961067199707,10.123719215393066,2.9002418518066406
Training,13.001175880432129,13.808857917785645,0.8076820373535156
Training,12.990694046020508,11.746880531311035,1.2438135147094727
Validation,12.921581268310547,9.75148868560791,3.1700925827026367
Training,12.821962356567383,11.924491882324219,0.8974704742431641
Training,12.788066864013672,12.053851127624512,0.7342157363891602
Training,12.765970230102539,12.290247917175293,0.4757223129272461
Training,12.755640029907227,12.532746315002441,0.22289371490478516
Training,12.753409385681152,10.491537094116211,2.2618722915649414
Training,12.735546112060547,10.493285179138184,2.2422609329223633
Training,12.67975902557373,13.624777793884277,0.9450187683105469
Training,12.66221809387207,9.387053489685059,3.2751646041870117
Training,12.629982948303223,9.220967292785645,3.409015655517578
Training,12.585741996765137,12.155171394348145,0.4305706024169922
Validation,12.585478782653809,13.046900749206543,0.4614219665527344
Training,12.56340503692627,9.982940673828125,2.5804643630981445
Training,12.544623374938965,9.445234298706055,3.09938907623291
Training,12.486138343811035,10.383028984069824,2.103109359741211
Training,12.484159469604492,10.521563529968262,1.9625959396362305
Training,12.477648735046387,11.504486083984375,0.9731626510620117
Training,12.46447467803955,11.657336235046387,0.8071384429931641
Training,12.412917137145996,14.103957176208496,1.6910400390625
Validation,12.333751678466797,12.701953887939453,0.36820220947265625
Training,12.3291597366333,10.033761024475098,2.295398712158203
Training,12.285677909851074,10.489798545837402,1.7958793640136719
Training,12.21969985961914,15.385075569152832,3.1653757095336914
Validation,12.184402465820312,14.021465301513672,1.8370628356933594
Training,12.148457527160645,10.69041633605957,1.4580411911010742
Training,12.075936317443848,10.31364917755127,1.7622871398925781
Training,12.000472068786621,9.643088340759277,2.3573837280273438
Training,11.993669509887695,10.285354614257812,1.7083148956298828
Training,11.9380464553833,8.857523918151855,3.0805225372314453
